id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,1,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704384353030,1704386149096,1796066,944,73630,1704384353030,1704386149080,1796050,417,33890,1704384353046,1704386149096,1796050,527,39740,60,77.9978813559322,19.089174997399663,144,60,81.27098321342919,16.19119380909449,114,60,75.40796963946862,20.75418719617758,144,0,1904.6299045599144,3382.432081415573,10782,0,4317.427884615388,4017.881772396435,10798,0,3414.543726235739,3986.666320073474,10797,0,0,0,0,944,534,0,0,0,0,0,0,417,280,0,0,0,0,0,0,527,254,0,0,TLS,Web,0,6,,,,,
1,1,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704386153096,1704387953084,1799988,1022,79544,1704386153096,1704387953084,1799988,461,37139,1704386153208,1704387949632,1796424,561,42405,60,77.8317025440313,18.718258875118117,144,60,80.56182212581348,16.184096331397196,114,60,75.58823529411778,20.309475372740835,144,0,1762.9657198824675,3295.090058544949,10445,0,3913.017391304348,4027.493990956591,10502,5,3207.900000000002,3967.589607344449,10553,0,0,0,0,1022,580,0,0,0,0,0,0,461,301,0,0,0,0,0,0,561,279,0,0,TLS,Web,0,6,,,,,
2,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,6,4,0,0,1704387953100,1704389753096,1799996,1005,78345,1704387953100,1704389752097,1798997,548,41475,1704387953109,1704389753096,1799987,457,36870,60,77.95522388059705,18.780101602754662,144,60,75.68430656934306,20.44962531611432,144,60,80.67833698030634,16.163888950380425,114,0,1792.8247011952203,3295.215831023565,10424,0,3288.8427787934206,3955.66441501895,10439,9,3947.339912280703,3984.89353927687,10482,0,0,0,0,1005,573,0,0,0,0,0,0,548,273,0,0,0,0,0,0,457,300,0,0,TLS,Web,0,6,,,,,
3,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,6,4,0,0,1704389753111,1704391551815,1798704,1019,79108,1704389753111,1704391551626,1798515,568,42650,1704389753124,1704391551815,1798691,451,36458,60,77.63297350343473,18.88681861971341,149,60,75.0880281690141,20.29872145614238,144,60,80.83813747228382,16.411052104906265,149,0,1766.8998035363454,3300.818668717821,10082,0,3171.984126984128,3948.125881129658,10128,4,3997.0911111111104,4022.8473991167057,10098,0,0,0,0,1019,569,0,0,0,0,0,0,568,272,0,0,0,0,0,0,451,297,0,0,TLS,Web,0,6,,,,,
4,1,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704391553145,1704393344134,1790989,954,74284,1704391553145,1704393344118,1790973,418,33979,1704391553202,1704393344134,1790932,536,40305,60,77.86582809224318,19.06444656332304,144,60,81.28947368421055,16.176186251425044,114,60,75.19589552238814,20.668022660425635,144,0,1879.3168940188896,3372.176292825284,10390,0,4294.899280575542,4022.757134228346,10447,0,3347.53644859813,3973.1093939920415,10427,0,0,0,0,954,536,0,0,0,0,0,0,418,281,0,0,0,0,0,0,536,255,0,0,TLS,Web,0,6,,,,,
5,1,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704393353163,1704395146339,1793176,908,70964,1704393353163,1704395146282,1793119,395,32280,1704393353179,1704395146339,1793160,513,38684,60,78.15418502202645,19.398405636325908,144,60,81.72151898734174,16.16455411910772,114,60,75.40740740740738,21.16969439194029,144,0,1977.0407938258013,3410.949066735184,10130,3,4551.063451776648,3956.529723631417,10146,0,3502.265624999998,3969.889107048241,10155,0,0,0,0,908,513,0,0,0,0,0,0,395,270,0,0,0,0,0,0,513,243,0,0,TLS,Web,0,6,,,,,
6,1,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704395153218,1704396953217,1799999,944,73530,1704395153218,1704396953217,1799999,417,33890,1704395153234,1704396952940,1799706,527,39640,60,77.8919491525423,19.11939876497712,144,60,81.27098321342926,16.19119380909449,114,60,75.21821631878557,20.77993992475222,144,0,1908.8006362672324,3366.6819589086854,10028,0,4326.920673076919,3974.696658087577,10083,0,3421.494296577947,3962.030147113229,10115,0,0,0,0,944,530,0,0,0,0,0,0,417,280,0,0,0,0,0,0,527,250,0,0,TLS,Web,0,6,,,,,
7,0,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64723,6,4,0,0,1704396953233,1704398630555,1677322,957,74217,1704396953233,1704398630555,1677322,534,40092,1704396953237,1704398630538,1677301,423,34125,60,77.55172413793109,18.986801451176948,149,60,75.07865168539328,20.254232950176736,144,60,80.67375886524826,16.763830586481042,149,0,1754.5209205020917,3281.6123665310006,10189,0,3146.945590994369,3918.8394580745335,10205,0,3974.64691943128,4004.247271330138,10245,0,0,0,0,957,531,0,2,0,0,0,0,534,256,0,1,0,0,0,0,423,275,0,1,TLS,Web,0,6,,,,,
8,0,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,61007,192.168.137.1,8c:ae:4c:dd:1e:39,8c:ae:4c,53,17,4,0,0,1704398640531,1704398640580,49,2,265,1704398640531,1704398640531,0,1,83,1704398640580,1704398640580,0,1,182,83,132.5,70.0035713374682,182,83,83.0,0.0,83,182,182.0,0.0,182,49,49.0,0.0,49,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,ocpp.unitedchargers.com,,,,
9,0,192.168.137.138,0c:8b:95:09:c6:08,0c:8b:95,64724,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1704398640590,1704399757337,1116747,643,56226,1704398640590,1704399757321,1116731,287,24205,1704398640626,1704399757337,1116711,356,32021,60,87.44323483670294,104.97488705821036,1528,60,84.33797909407667,35.49579981199562,420,60,89.94662921348325,137.47542659756786,1528,0,1739.4813084112145,3265.7711147459568,10160,4,3904.653846153845,3994.9766803134553,10217,0,3145.6647887323934,3925.011426486608,10195,2,0,0,0,642,361,0,2,1,0,0,0,286,189,0,1,1,0,0,0,356,172,0,1,TLS,Web,0,6,ocpp.unitedchargers.com,10b24dcfa930c67e66ddb1bc058c09ed,466556e923186364e82cbdb4cad8df2c,,
